plz,lat,lon
01067,51.06019,13.71117
01069,51.03964,13.7303
01097,51.06945,13.73781
01099,51.09272,13.82842
01108,51.1518,13.79227
01109,51.12232,13.75621
01127,51.07897,13.72638
01129,51.09777,13.73114
01139,51.08002,13.69169
01156,51.0659,13.61815
01157,51.06847,13.66465
01159,51.04412,13.69823
01169,51.03853,13.66174
01187,51.02752,13.70171
01189,51.01358,13.70268
01217,51.01647,13.74356
01219,51.02194,13.77461
01237,51.01825,13.80209
01239,50.9993,13.78282
01257,50.9983,13.8124
01259,50.99826,13.8502
01277,51.03745,13.79984
01279,51.02793,13.82244
01307,51.05267,13.76936
01309,51.0493,13.79048
01324,51.05779,13.85266
01326,51.02632,13.8486
01328,51.04186,13.90258
01445,51.11571,13.6366
01454,51.13171,13.91256
01458,51.17443,13.81526
01465,51.13939,13.85275
01468,51.15883,13.67488
01471,51.18507,13.73023
01477,51.09339,13.97827
01558,51.29011,13.52507
01561,51.28952,13.71196
01587,51.30103,13.26725
01589,51.28972,13.31678
01591,51.31648,13.24813
01594,51.25298,13.30076
01609,51.39583,13.45145
01612,51.28608,13.42471
01616,51.36784,13.22182
01619,51.37262,13.30595
01623,51.20609,13.307
01640,51.13311,13.56569
01662,51.16154,13.48386
01665,51.14012,13.37922
01683,51.09932,13.30442
01689,51.18416,13.55719
01705,50.99448,13.65166
01723,51.02404,13.51673
01728,50.98045,13.73665
01731,50.95175,13.74583
01734,50.94956,13.66373
01737,50.97444,13.52613
01738,50.93421,13.55149
01744,50.86038,13.62801
01762,50.81009,13.58276
01768,50.86931,13.75653
01773,50.77506,13.72896
01774,50.89061,13.54879
01776,50.75825,13.64771
01778,50.76648,13.83674
01796,50.94704,13.95056
01809,50.94628,13.84713
01814,50.90393,14.2298
01816,50.84694,13.96475
01819,50.88099,13.90448
01824,50.88799,14.09765
01825,50.8572,13.84442
01829,50.96097,14.00452
01833,51.0424,14.06227
01844,51.03243,14.22411
01847,50.9833,14.00432
01848,50.98328,14.11944
01855,50.9408,14.26775
01877,51.12024,14.21735
01896,51.19783,14.01053
01900,51.14561,14.03069
01904,51.07647,14.33053
01906,51.18834,14.22109
01909,51.11055,14.07114
01917,51.28587,14.09027
01920,51.27754,14.21101
01936,51.29163,13.90429
01945,51.42725,13.88003
01968,51.52333,14.02703
01979,51.50516,13.73218
01983,51.59563,13.97486
01987,51.48826,13.83601
01990,51.39351,13.70954
01993,51.50914,13.88725
01994,51.5543,13.94268
01996,51.45592,14.0228
01998,51.54109,13.89324
02625,51.18458,14.42663
02627,51.17245,14.58714
02633,51.16773,14.31917
02681,51.09233,14.40963
02689,51.04551,14.42642
02692,51.13715,14.41736
02694,51.27724,14.53484
02699,51.29073,14.32501
02708,51.09741,14.66842
02727,50.97362,14.60919
02730,51.00813,14.5976
02733,51.09875,14.52117
02736,51.0631,14.51274
02739,50.99179,14.65194
02742,51.03088,14.54781
02747,51.00878,14.7537
02748,51.04691,14.82642
02763,50.89549,14.80585
02779,50.90234,14.6824
02782,50.93811,14.61231
02785,50.87303,14.76676
02788,50.95549,14.85649
02791,50.96249,14.71982
02794,50.95007,14.66108
02796,50.85337,14.68509
02797,50.84279,14.74391
02799,50.86512,14.64515
02826,51.14726,14.97634
02827,51.10637,14.9547
02828,51.19053,14.97957
02829,51.18829,14.8912
02894,51.15804,14.77991
02899,51.02926,14.90836
02906,51.28514,14.73495
02923,51.30332,14.91182
02929,51.35577,14.9402
02943,51.41858,14.6248
02953,51.55789,14.7009
02956,51.40726,14.80508
02957,51.48125,14.79604
02959,51.52455,14.51312
02977,51.42434,14.21565
02979,51.47751,14.32812
02991,51.44281,14.08399
02994,51.37785,14.05219
02997,51.3766,14.22645
02999,51.37815,14.3833
